start_date,end_date,days,years,DJI_INR_CAGR,Gold_INR_CAGR,BSE_CAGR
1975-10-03,2011-11-21,13198,36.1342,12.986,12.3325,
1953-07-01,1982-07-02,10593,29.0021,6.3371,11.0546,
2006-10-18,2025-12-07,6990,19.1376,11.4215,14.467,10.3791
1952-08-12,1961-08-30,3305,9.0486,11.0324,0.1708,
2008-04-15,2024-05-01,5860,16.0438,12.292,11.2648,10.0069
1981-09-09,2019-09-07,13877,37.9932,15.5844,9.0253,14.9303
1950-04-14,1972-10-31,8236,22.5489,9.3325,5.0755,
1972-04-25,1983-08-27,4141,11.3374,4.3037,22.1186,
1995-02-23,2010-12-16,5775,15.8111,9.4486,10.9448,11.8713
1992-02-17,1999-01-04,2513,6.8802,25.1634,4.7093,3.6642
1985-09-24,2014-02-03,10359,28.3614,15.6311,11.4556,14.0887
1953-03-08,2019-12-10,24383,66.757,11.5283,10.2247,
1979-05-10,2006-08-05,9949,27.2389,17.224,9.5555,17.888
1990-10-27,2008-09-02,6520,17.8508,14.714,9.6392,14.7287
1989-03-04,2014-09-12,9323,25.525,14.1709,10.4537,15.5809
1975-12-03,1985-05-16,3452,9.4511,8.2875,13.5034,
2012-02-19,2018-11-07,2453,6.7159,17.5746,1.375,10.133
1951-10-10,1983-10-24,11702,32.0383,7.4039,10.382,
1983-06-28,1988-12-03,1985,5.4346,19.242,7.5565,21.9246
1956-01-16,1965-01-08,3280,8.9802,12.6753,5.2501,
1952-12-31,1977-08-22,9000,24.6407,7.1132,8.7403,
1971-05-17,2016-05-07,16427,44.9747,12.0805,13.345,
2017-05-19,2020-06-04,1112,3.0445,13.6406,19.3127,3.6525
1963-04-04,1976-07-22,4858,13.3005,7.6277,14.2144,
1975-10-15,2008-01-21,11786,32.2683,13.7032,10.9461,
1961-11-20,2005-01-15,15762,43.154,12.0032,11.5049,
1967-02-21,1978-10-24,4263,11.6715,4.3924,21.6815,
1971-04-25,1999-03-02,10173,27.8522,15.4935,14.0714,
1960-04-16,1994-02-26,12369,33.8645,11.5114,13.4504,
1985-09-24,2007-05-09,7897,21.6208,17.8289,9.3491,16.7882
1981-07-21,2006-04-26,9045,24.7639,18.0531,8.8997,17.7632
1961-10-19,1989-05-18,10073,27.5784,9.3846,13.7968,
1963-09-27,1974-01-21,3769,10.319,7.3917,21.8917,
1954-02-01,1960-06-04,2315,6.3381,13.1055,0.1168,
1968-07-13,2006-11-12,14001,38.3326,12.0555,12.6469,
1965-07-22,2023-09-13,21237,58.1437,11.0517,11.6406,
1967-05-29,1997-11-25,11138,30.4942,15.0855,14.7513,
1965-11-25,2002-08-21,13418,36.7365,11.8484,11.7304,
1965-05-05,1980-10-27,5654,15.4798,0.1499,20.622,
1961-08-21,1993-11-13,11772,32.23,11.5112,14.1799,
1956-06-19,1973-01-22,6061,16.5941,7.9047,7.9671,
1975-02-26,2007-02-19,11681,31.9808,15.3794,9.8728,
